Fold,Method,k,Selection_rank,Gene,logFC,FDR,Stat_score,Rank_stat,Degree,Normalized_degree,Rank_topo,Borda_score,Rank_NIBFS,mRMR_score,Relevance,Redundancy,Coefficient,Abs_Coefficient,Rank_LASSO
1,mRMR,20,8,RPS15,,,,,,,,,,0.1507387110830426,0.3255397378373235,0.1748010267542808,,,
1,mRMR,20,9,VEGFD,,,,,,,,,,0.1670190923095637,0.5278284449556649,0.3608093526461012,,,
1,mRMR,20,10,ADAMTS5,,,,,,,,,,0.1008119372426291,0.4973650942860497,0.3965531570434206,,,
1,mRMR,20,11,MT-ND2,,,,,,,,,,0.0964172578683039,0.2260455429419099,0.1296282850736059,,,
1,mRMR,20,12,RPL32,,,,,,,,,,0.1018561042348596,0.3573321717872166,0.2554760675523569,,,
1,mRMR,20,13,COL11A1,,,,,,,,,,0.1045564727914422,0.4956709664255796,0.3911144936341373,,,
1,mRMR,20,14,SCARA5,,,,,,,,,,0.07062081400862,0.5057495857179715,0.4351287717093514,,,
1,mRMR,20,15,FGF10,,,,,,,,,,0.0543884747101098,0.2089229694624905,0.1545344947523807,,,
1,mRMR,20,16,UHRF1,,,,,,,,,,0.0497654837407506,0.4963934869778734,0.4466280032371227,,,
1,mRMR,20,17,RPS12,,,,,,,,,,0.0351197468410312,0.2751321384327976,0.2400123915917663,,,
1,mRMR,20,18,MME,,,,,,,,,,0.0407012622564308,0.4837456688609594,0.4430444066045285,,,
1,mRMR,20,19,GJB2,,,,,,,,,,0.0244499195397867,0.4506484212700832,0.4261985017302965,,,
1,mRMR,20,20,MATN2,,,,,,,,,,0.00891709141648,0.4681816515024253,0.4592645600859453,,,
1,LASSO,20,1,INHBA,,,,,,,,,,,,,0.1618909635759728,0.1618909635759728,1.0
1,LASSO,20,2,CTHRC1,,,,,,,,,,,,,0.142251757767869,0.142251757767869,2.0
1,LASSO,20,3,BPIFB2,,,,,,,,,,,,,0.1381309345534709,0.1381309345534709,3.0
1,LASSO,20,4,LINC00852,,,,,,,,,,,,,0.1309676701207079,0.1309676701207079,4.0
1,LASSO,20,5,COL10A1,,,,,,,,,,,,,0.1224892639964018,0.1224892639964018,5.0
1,LASSO,20,6,GTF2F2,,,,,,,,,,,,,-0.107547642926062,0.107547642926062,6.0
1,LASSO,20,7,SIX4,,,,,,,,,,,,,0.1027603309612118,0.1027603309612118,7.0
1,LASSO,20,8,DPP6,,,,,,,,,,,,,0.1015817711091929,0.1015817711091929,8.0
1,LASSO,20,9,RBMS1,,,,,,,,,,,,,-0.1010408304726372,0.1010408304726372,9.0
1,LASSO,20,10,GAS7,,,,,,,,,,,,,-0.0999753224730886,0.0999753224730886,10.0
1,LASSO,20,11,PRR4,,,,,,,,,,,,,0.0973631982927666,0.0973631982927666,11.0
1,LASSO,20,12,ITGBL1,,,,,,,,,,,,,0.0966348241716931,0.0966348241716931,12.0
1,LASSO,20,13,CLEC4G,,,,,,,,,,,,,-0.0963453913735069,0.0963453913735069,13.0
1,LASSO,20,14,ASPN,,,,,,,,,,,,,0.0960713630842112,0.0960713630842112,14.0
1,LASSO,20,15,VEGFD,,,,,,,,,,,,,-0.0946759409758802,0.0946759409758802,15.0
1,LASSO,20,16,COL8A1,,,,,,,,,,,,,0.0927956646782401,0.0927956646782401,16.0
1,LASSO,20,17,PCNX1,,,,,,,,,,,,,-0.0920600896992689,0.0920600896992689,17.0
1,LASSO,20,18,PLP1,,,,,,,,,,,,,-0.0907810661526309,0.0907810661526309,18.0
1,LASSO,20,19,TCEAL7,,,,,,,,,,,,,-0.0888517628759232,0.0888517628759232,19.0
1,LASSO,20,20,DCT,,,,,,,,,,,,,-0.0856640147821474,0.0856640147821474,20.0
2,NIBFS,20,1,CDK1,2.569348586328612,8.185851809414689e-110,280.2823651113753,34.0,276.0,0.0173595823636706,34.5,34373.5,1.0,,,,,,
2,NIBFS,20,2,EGFR,-2.559083988750995,7.662762944460436e-90,228.05434249509807,77.0,460.0,0.0289326372727844,3.0,34362.0,2.0,,,,,,
2,NIBFS,20,3,CCNB1,2.389957538965412,2.471122507833092e-103,245.22662587547973,60.0,199.0,0.0125165104723567,134.0,34248.0,3.0,,,,,,
2,NIBFS,20,4,BUB1B,2.17085698206854,5.028487143461227e-95,204.7086931406157,107.0,181.0,0.0113843637964651,184.0,34151.0,4.0,,,,,,
2,NIBFS,20,5,FN1,1.8497113477442215,1.6099113293889578e-70,129.097270416159,263.0,285.0,0.0179256557016164,29.0,34150.0,5.0,,,,,,
2,NIBFS,20,6,CDC20,2.167029690867676,7.320783412377746e-76,162.82073460762572,180.0,203.0,0.0127680986225548,120.0,34142.0,6.0,,,,,,
2,NIBFS,20,7,EZH2,1.8779299639285512,1.5271835689774553e-83,155.5228521310723,191.0,181.0,0.0113843637964651,184.0,34067.0,7.0,,,,,,
2,NIBFS,20,8,CAV1,-2.432090191393765,5.01302924037672e-105,253.6667631749844,54.0,142.0,0.0089313793320334,339.0,34049.0,8.0,,,,,,
2,NIBFS,20,9,TOP2A,3.288592141543784,9.370791344742856e-112,365.126544055462,13.0,135.0,0.0084911000691867,381.5,34047.5,9.0,,,,,,
2,NIBFS,20,10,GNAI1,-1.978624391686678,1.3787678360617966e-74,146.14220440562508,214.0,174.0,0.0109440845336184,207.0,34021.0,10.0,,,,,,
2,NIBFS,20,11,STAT1,1.8490241909477456,3.2538178300603765e-56,102.59792720693828,362.0,242.0,0.0152210830869866,62.0,34018.0,11.0,,,,,,
2,NIBFS,20,12,RRM2,3.498081169309476,8.849648684668466e-122,423.45347854036254,6.0,129.0,0.0081137178438895,425.5,34010.5,12.0,,,,,,
2,NIBFS,20,13,KIT,-2.4166306390441537,1.348686446906133e-62,149.51715273408928,205.0,161.0,0.0101264230454745,258.5,33978.5,13.0,,,,,,
2,NIBFS,20,14,PPARG,-2.060608565306622,5.51215954513829e-68,138.59380843258077,238.0,162.0,0.010189320083024,254.5,33949.5,14.0,,,,,,
2,NIBFS,20,15,FGF2,-2.0737739388796057,8.411486851280473e-98,201.31186896220876,110.0,134.0,0.0084282030316372,389.5,33942.5,15.0,,,,,,
2,NIBFS,20,16,CCNA2,1.552317038284557,8.248815006914375e-64,97.92576021174662,389.0,208.0,0.0130825838103025,112.0,33941.0,16.0,,,,,,
2,NIBFS,20,17,UBE2C,2.2127374338972388,6.423245772051762e-103,226.12460698401844,79.0,127.0,0.0079879237687904,441.5,33921.5,17.0,,,,,,
2,NIBFS,20,18,MAD2L1,2.0050415028182984,1.1557336789472297e-74,148.24703877267635,209.0,143.0,0.0089942763695829,331.0,33902.0,18.0,,,,,,
2,NIBFS,20,19,CCNB2,1.857155342944477,4.136990489688519e-83,152.99861450848286,199.0,140.0,0.0088055852569343,346.0,33897.0,19.0,,,,,,
2,NIBFS,20,20,GNG2,-1.702933100337141,6.200012550560432e-68,114.4500592893398,317.0,164.0,0.0103151141581231,245.5,33879.5,20.0,,,,,,
2,DEG-only,20,1,SCARA5,-3.964141450079587,1.5743753819656106e-142,562.126720767933,1.0,,,,,,,,,,,
2,DEG-only,20,2,COL11A1,4.627042881694348,1.9604625976143064e-116,535.3842186775299,2.0,,,,,,,,,,,
2,DEG-only,20,3,COL10A1,4.042620673218406,9.486572905606229e-130,521.5906050654377,3.0,,,,,,,,,,,
2,DEG-only,20,4,VEGFD,-3.3272943181466355,1.3721191105225494e-143,475.3459444958212,4.0,,,,,,,,,,,
2,DEG-only,20,5,CAVIN2,-3.321522129452817,2.1697657724528023e-138,457.2526511252194,5.0,,,,,,,,,,,
2,DEG-only,20,6,RRM2,3.498081169309476,8.849648684668466e-122,423.45347854036254,6.0,,,,,,,,,,,
2,DEG-only,20,7,ADH1B,-4.344912481105171,6.163419507794568e-96,413.6798918995962,7.0,,,,,,,,,,,
2,DEG-only,20,8,INHBA,3.286532866220506,1.6462187190394903e-124,406.8185820100945,8.0,,,,,,,,,,,
