Fold,Method,Classifier,k,Training_samples,Validation_samples,Subject_group_overlap,Threshold,ROC_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score,TN,FP,FN,TP
4,mRMR,LR,20,487,121,0,0.5,1.0,0.9586776859504132,0.9596774193548387,0.9193548387096774,1.0,1.0,0.957983193277311,0.920614056994289,0.0204415417646169,59,0,5,57
4,mRMR,RF,20,487,121,0,0.5,0.9991798797156916,0.975206611570248,0.9758064516129032,0.9516129032258064,1.0,1.0,0.975206611570248,0.9516129032258064,0.0219392066115702,59,0,3,59
4,mRMR,LightGBM,20,487,121,0,0.5,0.9991798797156916,0.9834710743801652,0.9838709677419356,0.967741935483871,1.0,1.0,0.9836065573770492,0.9674774889874774,0.0175546600649899,59,0,2,60
4,LASSO,LR,20,487,121,0,0.5,0.9983597594313832,0.9669421487603306,0.967741935483871,0.935483870967742,1.0,1.0,0.9666666666666668,0.9359957636851016,0.0227216826131628,59,0,4,58
4,LASSO,RF,20,487,121,0,0.5,0.9937124111536358,0.975206611570248,0.9758064516129032,0.9516129032258064,1.0,1.0,0.975206611570248,0.9516129032258064,0.0247862479338842,59,0,3,59
4,LASSO,LightGBM,20,487,121,0,0.5,0.9989065062875888,0.975206611570248,0.9758064516129032,0.9516129032258064,1.0,1.0,0.975206611570248,0.9516129032258064,0.0257572494806684,59,0,3,59
5,NIBFS,LR,20,487,121,0,0.5,0.9978142076502732,0.975206611570248,0.975273224043716,0.9672131147540984,0.9833333333333332,0.9833333333333332,0.975206611570248,0.9505464480874316,0.0155547743624125,59,1,2,59
5,NIBFS,RF,20,487,121,0,0.5,0.9969945355191256,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0196968925619834,60,0,2,59
5,NIBFS,LightGBM,20,487,121,0,0.5,0.9969945355191256,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0142092106935119,60,0,2,59
5,DEG-only,LR,20,487,121,0,0.5,0.9983606557377048,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0151112996420172,60,0,2,59
5,DEG-only,RF,20,487,121,0,0.5,0.9952185792349728,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0149454876033057,60,0,2,59
5,DEG-only,LightGBM,20,487,121,0,0.5,0.9978142076502732,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0179456761568704,60,0,2,59
5,mRMR,LR,20,487,121,0,0.5,0.9989071038251366,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0151971780694366,60,0,2,59
5,mRMR,RF,20,487,121,0,0.5,0.996448087431694,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0150077685950413,60,0,2,59
5,mRMR,LightGBM,20,487,121,0,0.5,0.9953551912568306,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0164474134790164,60,0,2,59
5,LASSO,LR,20,487,121,0,0.5,0.996174863387978,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0158118765042337,60,0,2,59
5,LASSO,RF,20,487,121,0,0.5,0.9931693989071037,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.017299867768595,60,0,2,59
5,LASSO,LightGBM,20,487,121,0,0.5,0.9860655737704918,0.9834710743801652,0.9836065573770492,0.9672131147540984,1.0,1.0,0.9833333333333332,0.9674774889874774,0.0161856852283267,60,0,2,59
