Repeat,Fold,Method,k,Selection_rank,Gene
2,3,LASSO,20,9,COL11A1
2,3,LASSO,20,10,SIGLEC11
2,3,LASSO,20,11,COG8
2,3,LASSO,20,12,SCARA5
2,3,LASSO,20,13,ABCA9
2,3,LASSO,20,14,COL8A1
2,3,LASSO,20,15,SIX4
2,3,LASSO,20,16,FAP
2,3,LASSO,20,17,SCG2
2,3,LASSO,20,18,PAMR1
2,3,LASSO,20,19,MAMDC2
2,3,LASSO,20,20,FNDC3B
2,3,NIBFS,20,1,CDK1
2,3,NIBFS,20,2,EGFR
2,3,NIBFS,20,3,CCNB1
2,3,NIBFS,20,4,BUB1B
2,3,NIBFS,20,5,CDC20
2,3,NIBFS,20,6,FN1
2,3,NIBFS,20,7,EZH2
2,3,NIBFS,20,8,TOP2A
2,3,NIBFS,20,9,CAV1
2,3,NIBFS,20,10,STAT1
2,3,NIBFS,20,11,RRM2
2,3,NIBFS,20,12,CCNA2
2,3,NIBFS,20,13,KIT
2,3,NIBFS,20,14,GNAI1
2,3,NIBFS,20,15,UBE2C
2,3,NIBFS,20,16,PPARG
2,3,NIBFS,20,17,CCNB2
2,3,NIBFS,20,18,MAD2L1
2,3,NIBFS,20,19,FGF2
2,3,NIBFS,20,20,IGF1
2,3,mRMR,20,1,VEGFD
2,3,mRMR,20,2,MT-ND4
2,3,mRMR,20,3,RPS3
2,3,mRMR,20,4,INHBA
2,3,mRMR,20,5,UBE2T
2,3,mRMR,20,6,UBB
2,3,mRMR,20,7,TPT1
2,3,mRMR,20,8,COL10A1
2,3,mRMR,20,9,RPS15
2,3,mRMR,20,10,SCARA5
2,3,mRMR,20,11,MT-ND2
2,3,mRMR,20,12,COL11A1
2,3,mRMR,20,13,RPL32
2,3,mRMR,20,14,ADAMTS5
2,3,mRMR,20,15,RPLP1
2,3,mRMR,20,16,UHRF1
2,3,mRMR,20,17,SRPX
2,3,mRMR,20,18,MAMDC2
2,3,mRMR,20,19,CCN4
2,3,mRMR,20,20,RPS12
2,4,DEG-only,20,1,COL11A1
2,4,DEG-only,20,2,COL10A1
2,4,DEG-only,20,3,SCARA5
2,4,DEG-only,20,4,CAVIN2
2,4,DEG-only,20,5,VEGFD
2,4,DEG-only,20,6,ADH1B
2,4,DEG-only,20,7,INHBA
2,4,DEG-only,20,8,CHRDL1
2,4,DEG-only,20,9,ABCA8
2,4,DEG-only,20,10,RRM2
2,4,DEG-only,20,11,ECRG4
2,4,DEG-only,20,12,ADAMTS5
2,4,DEG-only,20,13,TOP2A
2,4,DEG-only,20,14,MAMDC2
2,4,DEG-only,20,15,FMO2
2,4,DEG-only,20,16,CD300LG
2,4,DEG-only,20,17,MMP11
2,4,DEG-only,20,18,NTRK2
2,4,DEG-only,20,19,UHRF1
2,4,DEG-only,20,20,MME
2,4,LASSO,20,1,LINC00852
2,4,LASSO,20,2,INHBA
2,4,LASSO,20,3,CTHRC1
2,4,LASSO,20,4,LRP2BP
2,4,LASSO,20,5,DPP6
2,4,LASSO,20,6,BPIFB2
2,4,LASSO,20,7,CLEC4G
2,4,LASSO,20,8,RBMS1
2,4,LASSO,20,9,ITGBL1
2,4,LASSO,20,10,COL10A1
2,4,LASSO,20,11,LYVE1
2,4,LASSO,20,12,MEDAG
2,4,LASSO,20,13,BGN
2,4,LASSO,20,14,PCNX1
2,4,LASSO,20,15,MAPRE2
2,4,LASSO,20,16,TMEM119
2,4,LASSO,20,17,SIX4
2,4,LASSO,20,18,IER5L
2,4,LASSO,20,19,MT1M
2,4,LASSO,20,20,GABARAPL1
2,4,NIBFS,20,1,CDK1
2,4,NIBFS,20,2,EGFR
2,4,NIBFS,20,3,CCNB1
2,4,NIBFS,20,4,BUB1B
2,4,NIBFS,20,5,CDC20
2,4,NIBFS,20,6,FN1
2,4,NIBFS,20,7,STAT1
2,4,NIBFS,20,8,EZH2
2,4,NIBFS,20,9,TOP2A
2,4,NIBFS,20,10,CAV1
2,4,NIBFS,20,11,GNAI1
2,4,NIBFS,20,12,RRM2
2,4,NIBFS,20,13,KIT
2,4,NIBFS,20,14,PPARG
2,4,NIBFS,20,15,FGF2
2,4,NIBFS,20,16,UBE2C
2,4,NIBFS,20,17,MAD2L1
2,4,NIBFS,20,18,CCNA2
