Fold,Method,k,Selection_rank,Gene
4,DEG-only,20,15,UHRF1
4,DEG-only,20,16,NTRK2
4,DEG-only,20,17,FMO2
4,DEG-only,20,18,NUSAP1
4,DEG-only,20,19,CD300LG
4,DEG-only,20,20,PCLAF
4,mRMR,20,1,INHBA
4,mRMR,20,2,MT-ND4
4,mRMR,20,3,RPS15
4,mRMR,20,4,ADAMTS5
4,mRMR,20,5,UBB
4,mRMR,20,6,SCARA5
4,mRMR,20,7,RPLP1
4,mRMR,20,8,UBE2T
4,mRMR,20,9,TPT1
4,mRMR,20,10,COL11A1
4,mRMR,20,11,MT-ND2
4,mRMR,20,12,COL10A1
4,mRMR,20,13,RPL32
4,mRMR,20,14,VEGFD
4,mRMR,20,15,RPS3
4,mRMR,20,16,TOP2A
4,mRMR,20,17,SPRY2
4,mRMR,20,18,KLHL29
4,mRMR,20,19,PABPC1
4,mRMR,20,20,RPS12
4,LASSO,20,1,BPIFB2
4,LASSO,20,2,INHBA
4,LASSO,20,3,CTHRC1
4,LASSO,20,4,LINC00852
4,LASSO,20,5,ITGBL1
4,LASSO,20,6,RBMS1
4,LASSO,20,7,COL10A1
4,LASSO,20,8,MT1M
4,LASSO,20,9,ASPN
4,LASSO,20,10,CREB5
4,LASSO,20,11,DPP6
4,LASSO,20,12,BGN
4,LASSO,20,13,GTF2F2
4,LASSO,20,14,TCEAL7
4,LASSO,20,15,MAPRE2
4,LASSO,20,16,GAS7
4,LASSO,20,17,SIX4
4,LASSO,20,18,GAL3ST3
4,LASSO,20,19,CLEC4G
4,LASSO,20,20,MEDAG
5,NIBFS,20,1,CDK1
5,NIBFS,20,2,EGFR
5,NIBFS,20,3,CCNB1
5,NIBFS,20,4,BUB1B
5,NIBFS,20,5,CDC20
5,NIBFS,20,6,FN1
5,NIBFS,20,7,STAT1
5,NIBFS,20,8,CAV1
5,NIBFS,20,9,EZH2
5,NIBFS,20,10,TOP2A
5,NIBFS,20,11,GNAI1
5,NIBFS,20,12,RRM2
5,NIBFS,20,13,KIT
5,NIBFS,20,14,PPARG
5,NIBFS,20,15,CCNA2
5,NIBFS,20,16,UBE2C
5,NIBFS,20,17,FGF2
5,NIBFS,20,18,MAD2L1
5,NIBFS,20,19,CCNB2
5,NIBFS,20,20,IGF1
5,DEG-only,20,1,SCARA5
5,DEG-only,20,2,COL10A1
5,DEG-only,20,3,COL11A1
5,DEG-only,20,4,VEGFD
5,DEG-only,20,5,CAVIN2
5,DEG-only,20,6,INHBA
5,DEG-only,20,7,RRM2
5,DEG-only,20,8,ABCA8
5,DEG-only,20,9,ADH1B
5,DEG-only,20,10,CHRDL1
5,DEG-only,20,11,ECRG4
5,DEG-only,20,12,NTRK2
5,DEG-only,20,13,MAMDC2
5,DEG-only,20,14,ADAMTS5
5,DEG-only,20,15,CD300LG
5,DEG-only,20,16,UHRF1
5,DEG-only,20,17,FMO2
5,DEG-only,20,18,MMP11
5,DEG-only,20,19,MME
5,DEG-only,20,20,TOP2A
5,mRMR,20,1,SCARA5
5,mRMR,20,2,MT-ND4
5,mRMR,20,3,UBB
5,mRMR,20,4,INHBA
5,mRMR,20,5,RPS15
5,mRMR,20,6,TPT1
5,mRMR,20,7,COL11A1
5,mRMR,20,8,RPL32
5,mRMR,20,9,ADAMTS5
5,mRMR,20,10,RPLP1
5,mRMR,20,11,UBE2T
5,mRMR,20,12,MAMDC2
5,mRMR,20,13,RPS3
5,mRMR,20,14,COL10A1
5,mRMR,20,15,SPRY2
5,mRMR,20,16,PABPC1
5,mRMR,20,17,VEGFD
5,mRMR,20,18,MMP11
5,mRMR,20,19,RPS12
5,mRMR,20,20,CAVIN2
5,LASSO,20,1,LINC00852
5,LASSO,20,2,CTHRC1
5,LASSO,20,3,INHBA
5,LASSO,20,4,LYVE1
5,LASSO,20,5,ASPN
5,LASSO,20,6,COL10A1
5,LASSO,20,7,CXCL2
5,LASSO,20,8,SIGLEC11
5,LASSO,20,9,LRP2BP
5,LASSO,20,10,FAP
5,LASSO,20,11,BGN
5,LASSO,20,12,LINC00445
5,LASSO,20,13,SIGLEC16
5,LASSO,20,14,TCEAL7
5,LASSO,20,15,RBMS1
5,LASSO,20,16,LSAMP
5,LASSO,20,17,COL11A1
5,LASSO,20,18,SCARA5
5,LASSO,20,19,GZMK
5,LASSO,20,20,GABARAPL1
