Repeat,Fold,Method,k,Selection_rank,Gene
3,2,Stability-selection,20,10,CREB5
3,2,Stability-selection,20,11,CCN4
3,2,Stability-selection,20,12,IER5L
3,2,Stability-selection,20,13,LRIG3
3,2,Stability-selection,20,14,CXCL2
3,2,Stability-selection,20,15,SCARA5
3,2,Stability-selection,20,16,ALDH1A2
3,2,Stability-selection,20,17,BGN
3,2,Stability-selection,20,18,MAZ
3,2,Stability-selection,20,19,MAMDC2
3,2,Stability-selection,20,20,EBF3
3,3,Stability-selection,20,1,CTHRC1
3,3,Stability-selection,20,2,SIX4
3,3,Stability-selection,20,3,INHBA
3,3,Stability-selection,20,4,CILP2
3,3,Stability-selection,20,5,ATF3
3,3,Stability-selection,20,6,ABCA9
3,3,Stability-selection,20,7,CXCL10
3,3,Stability-selection,20,8,PCNX1
3,3,Stability-selection,20,9,GABARAPL1
3,3,Stability-selection,20,10,VEGFD
3,3,Stability-selection,20,11,EIF3F
3,3,Stability-selection,20,12,LSR
3,3,Stability-selection,20,13,IFI6
3,3,Stability-selection,20,14,COL11A1
3,3,Stability-selection,20,15,COL10A1
3,3,Stability-selection,20,16,S100P
3,3,Stability-selection,20,17,BARD1
3,3,Stability-selection,20,18,CREB5
3,3,Stability-selection,20,19,MT1M
3,3,Stability-selection,20,20,JUN
3,4,Stability-selection,20,1,CTHRC1
3,4,Stability-selection,20,2,BGN
3,4,Stability-selection,20,3,INHBA
3,4,Stability-selection,20,4,MEDAG
3,4,Stability-selection,20,5,ZBTB16
3,4,Stability-selection,20,6,SIX4
3,4,Stability-selection,20,7,LYVE1
3,4,Stability-selection,20,8,COL10A1
3,4,Stability-selection,20,9,GABARAPL1
3,4,Stability-selection,20,10,APCDD1
3,4,Stability-selection,20,11,GAS7
3,4,Stability-selection,20,12,POSTN
3,4,Stability-selection,20,13,S100P
3,4,Stability-selection,20,14,PCNX1
3,4,Stability-selection,20,15,IER5L
3,4,Stability-selection,20,16,SELENOI
3,4,Stability-selection,20,17,VIT
3,4,Stability-selection,20,18,VOPP1
3,4,Stability-selection,20,19,MMP9
3,4,Stability-selection,20,20,EIF3F
3,5,Stability-selection,20,1,INHBA
3,5,Stability-selection,20,2,CTHRC1
3,5,Stability-selection,20,3,GAS7
3,5,Stability-selection,20,4,MEDAG
3,5,Stability-selection,20,5,CREB5
3,5,Stability-selection,20,6,BGN
3,5,Stability-selection,20,7,BBS2
3,5,Stability-selection,20,8,LYVE1
3,5,Stability-selection,20,9,GSTM5
3,5,Stability-selection,20,10,SIX4
3,5,Stability-selection,20,11,ZBTB16
3,5,Stability-selection,20,12,CXCR4
3,5,Stability-selection,20,13,POSTN
3,5,Stability-selection,20,14,JUN
3,5,Stability-selection,20,15,PLP1
3,5,Stability-selection,20,16,ALDH1A2
3,5,Stability-selection,20,17,PCNX1
3,5,Stability-selection,20,18,BARD1
3,5,Stability-selection,20,19,EBF3
3,5,Stability-selection,20,20,GABARAPL1
4,1,Stability-selection,20,1,CTHRC1
4,1,Stability-selection,20,2,MEDAG
4,1,Stability-selection,20,3,INHBA
4,1,Stability-selection,20,4,GAS7
4,1,Stability-selection,20,5,PCNX1
4,1,Stability-selection,20,6,GABARAPL1
4,1,Stability-selection,20,7,EIF3F
4,1,Stability-selection,20,8,CREB5
4,1,Stability-selection,20,9,IER5L
4,1,Stability-selection,20,10,JUN
4,1,Stability-selection,20,11,ZBTB16
4,1,Stability-selection,20,12,GSTM5
4,1,Stability-selection,20,13,BGN
4,1,Stability-selection,20,14,EBF3
4,1,Stability-selection,20,15,S100P
4,1,Stability-selection,20,16,BARD1
4,1,Stability-selection,20,17,BBS2
4,1,Stability-selection,20,18,PPAT
4,1,Stability-selection,20,19,SIX4
4,1,Stability-selection,20,20,CXCR4
4,2,Stability-selection,20,1,CTHRC1
4,2,Stability-selection,20,2,INHBA
4,2,Stability-selection,20,3,EIF3F
4,2,Stability-selection,20,4,PCNX1
4,2,Stability-selection,20,5,BARD1
4,2,Stability-selection,20,6,CD34
4,2,Stability-selection,20,7,POSTN
4,2,Stability-selection,20,8,MT1M
4,2,Stability-selection,20,9,CXCL2
4,2,Stability-selection,20,10,BGN
4,2,Stability-selection,20,11,CREB5
4,2,Stability-selection,20,12,SELENOI
4,2,Stability-selection,20,13,JUN
4,2,Stability-selection,20,14,MEDAG
4,2,Stability-selection,20,15,IFI6
4,2,Stability-selection,20,16,SIX4
4,2,Stability-selection,20,17,PLP1
4,2,Stability-selection,20,18,IER5L
4,2,Stability-selection,20,19,CXCR4
4,2,Stability-selection,20,20,CMA1
4,3,Stability-selection,20,1,CTHRC1
4,3,Stability-selection,20,2,GABARAPL1
4,3,Stability-selection,20,3,INHBA
4,3,Stability-selection,20,4,LSR
4,3,Stability-selection,20,5,BGN
4,3,Stability-selection,20,6,COL10A1
4,3,Stability-selection,20,7,ABCA9
4,3,Stability-selection,20,8,S100P
4,3,Stability-selection,20,9,PLAC9
4,3,Stability-selection,20,10,PCNX1
4,3,Stability-selection,20,11,FAP
4,3,Stability-selection,20,12,PAK3
4,3,Stability-selection,20,13,SIX4
4,3,Stability-selection,20,14,GAS7
4,3,Stability-selection,20,15,LYVE1
4,3,Stability-selection,20,16,CCN4
4,3,Stability-selection,20,17,NREP
4,3,Stability-selection,20,18,CD248
4,3,Stability-selection,20,19,BARD1
4,3,Stability-selection,20,20,PIK3R1
4,4,Stability-selection,20,1,INHBA
4,4,Stability-selection,20,2,SIX4
4,4,Stability-selection,20,3,BGN
4,4,Stability-selection,20,4,CTHRC1
4,4,Stability-selection,20,5,CXCR4
4,4,Stability-selection,20,6,GAS7
4,4,Stability-selection,20,7,EIF3F
4,4,Stability-selection,20,8,COL1A1
4,4,Stability-selection,20,9,MEDAG
4,4,Stability-selection,20,10,ATF3
4,4,Stability-selection,20,11,LYVE1
4,4,Stability-selection,20,12,MMP9
4,4,Stability-selection,20,13,CMA1
4,4,Stability-selection,20,14,FAM162B
4,4,Stability-selection,20,15,POSTN
4,4,Stability-selection,20,16,GSTM5
4,4,Stability-selection,20,17,PPP1R15A
4,4,Stability-selection,20,18,CREB5
4,4,Stability-selection,20,19,GABARAPL1
4,4,Stability-selection,20,20,ZBTB16
4,5,Stability-selection,20,1,INHBA
4,5,Stability-selection,20,2,ATF3
4,5,Stability-selection,20,3,CREB5
4,5,Stability-selection,20,4,CTHRC1
4,5,Stability-selection,20,5,MEDAG
4,5,Stability-selection,20,6,BGN
4,5,Stability-selection,20,7,LYVE1
4,5,Stability-selection,20,8,BBS2
4,5,Stability-selection,20,9,IER5L
4,5,Stability-selection,20,10,GAS7
4,5,Stability-selection,20,11,GSTM5
4,5,Stability-selection,20,12,GABARAPL1
4,5,Stability-selection,20,13,COL1A1
4,5,Stability-selection,20,14,PCNX1
4,5,Stability-selection,20,15,S100A10
4,5,Stability-selection,20,16,SIX4
4,5,Stability-selection,20,17,POSTN
4,5,Stability-selection,20,18,CXCL2
4,5,Stability-selection,20,19,ABCA9
4,5,Stability-selection,20,20,SELENOI
5,1,Stability-selection,20,1,INHBA
5,1,Stability-selection,20,2,CTHRC1
5,1,Stability-selection,20,3,MEDAG
5,1,Stability-selection,20,4,BGN
5,1,Stability-selection,20,5,PCNX1
5,1,Stability-selection,20,6,POSTN
5,1,Stability-selection,20,7,COL10A1
5,1,Stability-selection,20,8,ATF3
5,1,Stability-selection,20,9,GAS7
5,1,Stability-selection,20,10,BBS2
5,1,Stability-selection,20,11,SIX4
5,1,Stability-selection,20,12,ALDH1A3
5,1,Stability-selection,20,13,IRF9
5,1,Stability-selection,20,14,MMP9
5,1,Stability-selection,20,15,BARD1
5,1,Stability-selection,20,16,JUN
5,1,Stability-selection,20,17,LYVE1
5,1,Stability-selection,20,18,CREB5
5,1,Stability-selection,20,19,GSTM5
5,1,Stability-selection,20,20,ZBTB16
5,2,Stability-selection,20,1,CTHRC1
5,2,Stability-selection,20,2,GABARAPL1
5,2,Stability-selection,20,3,SIX4
5,2,Stability-selection,20,4,PCNX1
5,2,Stability-selection,20,5,INHBA
5,2,Stability-selection,20,6,ABCA9
5,2,Stability-selection,20,7,CILP2
5,2,Stability-selection,20,8,CTSG
5,2,Stability-selection,20,9,BGN
5,2,Stability-selection,20,10,SLC25A25
5,2,Stability-selection,20,11,COL10A1
5,2,Stability-selection,20,12,PPAT
5,2,Stability-selection,20,13,MT1M
5,2,Stability-selection,20,14,LSR
5,2,Stability-selection,20,15,GAS7
5,2,Stability-selection,20,16,MEDAG
5,2,Stability-selection,20,17,BARD1
5,2,Stability-selection,20,18,ZDHHC13
5,2,Stability-selection,20,19,CXCL10
5,2,Stability-selection,20,20,CD209
5,3,Stability-selection,20,1,INHBA
5,3,Stability-selection,20,2,CTHRC1
5,3,Stability-selection,20,3,GAS7
5,3,Stability-selection,20,4,LYVE1
5,3,Stability-selection,20,5,MEDAG
5,3,Stability-selection,20,6,CCN4
5,3,Stability-selection,20,7,BBS2
5,3,Stability-selection,20,8,CXCL2
5,3,Stability-selection,20,9,IER5L
5,3,Stability-selection,20,10,COL10A1
5,3,Stability-selection,20,11,BGN
5,3,Stability-selection,20,12,BARD1
5,3,Stability-selection,20,13,MT1M
5,3,Stability-selection,20,14,HOXA4
5,3,Stability-selection,20,15,CMA1
5,3,Stability-selection,20,16,PLP1
5,3,Stability-selection,20,17,SCARA5
5,3,Stability-selection,20,18,CREB5
5,3,Stability-selection,20,19,VIT
5,3,Stability-selection,20,20,EIF3F
5,4,Stability-selection,20,1,CTHRC1
5,4,Stability-selection,20,2,INHBA
5,4,Stability-selection,20,3,SIX4
5,4,Stability-selection,20,4,EIF3F
5,4,Stability-selection,20,5,BGN
5,4,Stability-selection,20,6,CREB5
5,4,Stability-selection,20,7,ATF3
5,4,Stability-selection,20,8,BARD1
5,4,Stability-selection,20,9,GABARAPL1
5,4,Stability-selection,20,10,MEDAG
5,4,Stability-selection,20,11,PCNX1
5,4,Stability-selection,20,12,S100A10
5,4,Stability-selection,20,13,SCARA5
5,4,Stability-selection,20,14,CXCL2
5,4,Stability-selection,20,15,POSTN
