Repeat,Method,Fold_A,Fold_B,Intersection,Union,Jaccard
9,Stability-selection,2,5,6,34,0.17647058823529413
9,Stability-selection,3,4,12,28,0.42857142857142855
9,Stability-selection,3,5,4,36,0.1111111111111111
9,Stability-selection,4,5,7,33,0.21212121212121213
9,mRMR,1,2,14,26,0.5384615384615384
9,mRMR,1,3,17,23,0.7391304347826086
9,mRMR,1,4,16,24,0.6666666666666666
9,mRMR,1,5,15,25,0.6
9,mRMR,2,3,15,25,0.6
9,mRMR,2,4,15,25,0.6
9,mRMR,2,5,13,27,0.48148148148148145
9,mRMR,3,4,18,22,0.8181818181818182
9,mRMR,3,5,16,24,0.6666666666666666
9,mRMR,4,5,16,24,0.6666666666666666
10,DEG-only,1,2,19,21,0.9047619047619048
10,DEG-only,1,3,17,23,0.7391304347826086
10,DEG-only,1,4,19,21,0.9047619047619048
10,DEG-only,1,5,18,22,0.8181818181818182
10,DEG-only,2,3,18,22,0.8181818181818182
10,DEG-only,2,4,18,22,0.8181818181818182
10,DEG-only,2,5,19,21,0.9047619047619048
10,DEG-only,3,4,18,22,0.8181818181818182
10,DEG-only,3,5,19,21,0.9047619047619048
10,DEG-only,4,5,19,21,0.9047619047619048
10,LASSO,1,2,10,30,0.3333333333333333
10,LASSO,1,3,11,29,0.3793103448275862
10,LASSO,1,4,8,32,0.25
10,LASSO,1,5,13,27,0.48148148148148145
10,LASSO,2,3,16,24,0.6666666666666666
10,LASSO,2,4,8,32,0.25
10,LASSO,2,5,11,29,0.3793103448275862
10,LASSO,3,4,10,30,0.3333333333333333
10,LASSO,3,5,12,28,0.42857142857142855
10,LASSO,4,5,10,30,0.3333333333333333
10,NIBFS,1,2,18,22,0.8181818181818182
10,NIBFS,1,3,19,21,0.9047619047619048
10,NIBFS,1,4,19,21,0.9047619047619048
10,NIBFS,1,5,20,20,1.0
10,NIBFS,2,3,19,21,0.9047619047619048
10,NIBFS,2,4,18,22,0.8181818181818182
10,NIBFS,2,5,18,22,0.8181818181818182
10,NIBFS,3,4,19,21,0.9047619047619048
10,NIBFS,3,5,19,21,0.9047619047619048
10,NIBFS,4,5,19,21,0.9047619047619048
10,Stability-selection,1,2,8,32,0.25
10,Stability-selection,1,3,8,32,0.25
10,Stability-selection,1,4,6,34,0.17647058823529413
10,Stability-selection,1,5,9,31,0.2903225806451613
10,Stability-selection,2,3,11,29,0.3793103448275862
10,Stability-selection,2,4,11,29,0.3793103448275862
10,Stability-selection,2,5,13,27,0.48148148148148145
10,Stability-selection,3,4,11,29,0.3793103448275862
10,Stability-selection,3,5,12,28,0.42857142857142855
10,Stability-selection,4,5,14,26,0.5384615384615384
10,mRMR,1,2,17,23,0.7391304347826086
10,mRMR,1,3,14,26,0.5384615384615384
10,mRMR,1,4,15,25,0.6
10,mRMR,1,5,16,24,0.6666666666666666
10,mRMR,2,3,14,26,0.5384615384615384
10,mRMR,2,4,15,25,0.6
10,mRMR,2,5,17,23,0.7391304347826086
10,mRMR,3,4,14,26,0.5384615384615384
10,mRMR,3,5,15,25,0.6
10,mRMR,4,5,16,24,0.6666666666666666
