Fold,Method,k,Selection_rank,Gene
4,mRMR,20,14,ANKRD35
4,mRMR,20,15,RPS15
4,mRMR,20,16,COL9A1
4,mRMR,20,17,SEMA6A
4,mRMR,20,18,RALYL
4,mRMR,20,19,MASP1
4,mRMR,20,20,CDH12
4,LASSO,20,1,PPBP
4,LASSO,20,2,SIGLEC16
4,LASSO,20,3,HPR
4,LASSO,20,4,RBMS3-AS3
4,LASSO,20,5,HPS6
4,LASSO,20,6,MST1L
4,LASSO,20,7,QRICH1
4,LASSO,20,8,PCCB
4,LASSO,20,9,OTUD7A
4,LASSO,20,10,CTHRC1
4,LASSO,20,11,CLEC4G
4,LASSO,20,12,RBMS1
4,LASSO,20,13,CCDC141
4,LASSO,20,14,GSTM5
4,LASSO,20,15,ESRRB
4,LASSO,20,16,NUCLEOLIN
4,LASSO,20,17,CLCN5
4,LASSO,20,18,SPTLC1
4,LASSO,20,19,INHBA
4,LASSO,20,20,CILP2
5,NIBFS,20,1,CDK1
5,NIBFS,20,2,EGFR
5,NIBFS,20,3,CCNB1
5,NIBFS,20,4,CDC20
5,NIBFS,20,5,BUB1B
5,NIBFS,20,6,STAT1
5,NIBFS,20,7,FN1
5,NIBFS,20,8,GNAI1
5,NIBFS,20,9,CAV1
5,NIBFS,20,10,EZH2
5,NIBFS,20,11,TOP2A
5,NIBFS,20,12,RRM2
5,NIBFS,20,13,PPARG
5,NIBFS,20,14,CCNA2
5,NIBFS,20,15,FGF2
5,NIBFS,20,16,CCNB2
5,NIBFS,20,17,UBE2C
5,NIBFS,20,18,GNG2
5,NIBFS,20,19,KIT
5,NIBFS,20,20,IGF1
5,DEG-only,20,1,COL10A1
5,DEG-only,20,2,COL11A1
5,DEG-only,20,3,SCARA5
5,DEG-only,20,4,CAVIN2
5,DEG-only,20,5,ADH1B
5,DEG-only,20,6,VEGFD
5,DEG-only,20,7,ABCA8
5,DEG-only,20,8,INHBA
5,DEG-only,20,9,CHRDL1
5,DEG-only,20,10,CD300LG
5,DEG-only,20,11,NTRK2
5,DEG-only,20,12,ECRG4
5,DEG-only,20,13,RRM2
5,DEG-only,20,14,MMP11
5,DEG-only,20,15,ADAMTS5
5,DEG-only,20,16,MME
5,DEG-only,20,17,ITIH5
5,DEG-only,20,18,LPL
5,DEG-only,20,19,FMO2
5,DEG-only,20,20,EBF1
5,mRMR,20,1,COL10A1
5,mRMR,20,2,MT-ND4
5,mRMR,20,3,UBB
5,mRMR,20,4,RPS15
5,mRMR,20,5,TPT1
5,mRMR,20,6,C7ORF57
5,mRMR,20,7,ACTL6B
5,mRMR,20,8,PRAME
5,mRMR,20,9,POU3F3
5,mRMR,20,10,SCGB3A2
5,mRMR,20,11,RPS12
5,mRMR,20,12,GLYAT
5,mRMR,20,13,ETNPPL
5,mRMR,20,14,RPL32
5,mRMR,20,15,TDRD12
5,mRMR,20,16,ITIH2
5,mRMR,20,17,VDAC2
5,mRMR,20,18,RPL6
5,mRMR,20,19,TCAF2
5,mRMR,20,20,GNG4
5,LASSO,20,1,CTHRC1
5,LASSO,20,2,SEL1L2
5,LASSO,20,3,GSTM5
5,LASSO,20,4,SNX19
5,LASSO,20,5,CCDC141
5,LASSO,20,6,RPS12
5,LASSO,20,7,OTUD7A
5,LASSO,20,8,PTBP1
5,LASSO,20,9,IGFBP7
5,LASSO,20,10,CASP2
5,LASSO,20,11,MRI1
5,LASSO,20,12,SHISAL1
5,LASSO,20,13,AKAP19
5,LASSO,20,14,IRS4
5,LASSO,20,15,COLCA1
5,LASSO,20,16,AADAC
5,LASSO,20,17,CAMKK2
5,LASSO,20,18,CLEC4G
5,LASSO,20,19,CA7
5,LASSO,20,20,SCN2B
