Fold,Method,Classifier,k,ROC_AUC,PR_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score
2,mRMR,LightGBM,20,0.9666666666666667,0.9742010564016965,0.9016393442622951,0.9018817204301075,0.8870967741935484,0.9166666666666666,0.9166666666666666,0.9016393442622951,0.803763440860215,0.07731174324073738
2,LASSO,LR,20,0.8954301075268817,0.8765960018373241,0.8524590163934426,0.8521505376344086,0.8709677419354839,0.8333333333333334,0.84375,0.8571428571428571,0.7050596119186784,0.12427440583478894
2,LASSO,RF,20,0.9275537634408603,0.941371572025251,0.8278688524590164,0.8282258064516128,0.8064516129032258,0.85,0.847457627118644,0.8264462809917356,0.6567164713416416,0.11737521311475412
2,LASSO,LightGBM,20,0.939516129032258,0.9539953783342308,0.8524590163934426,0.8529569892473119,0.8225806451612904,0.8833333333333333,0.8793103448275862,0.85,0.7066742522513165,0.1042619753856059
3,NIBFS,LR,20,0.8887096774193549,0.9077657295370618,0.819672131147541,0.8198924731182795,0.8064516129032258,0.8333333333333334,0.8333333333333334,0.819672131147541,0.6397849462365591,0.13486352031816823
3,NIBFS,RF,20,0.9471774193548388,0.9559493454425051,0.8852459016393442,0.8852150537634409,0.8870967741935484,0.8833333333333333,0.8870967741935484,0.8870967741935484,0.7704301075268817,0.0981044918032787
3,NIBFS,LightGBM,20,0.953494623655914,0.9625169006633827,0.9180327868852459,0.9182795698924731,0.9032258064516129,0.9333333333333333,0.9333333333333333,0.9180327868852459,0.8365591397849462,0.07443865459973041
3,DEG-only,LR,20,0.9314516129032258,0.9497255822956886,0.8524590163934426,0.8521505376344086,0.8709677419354839,0.8333333333333334,0.84375,0.8571428571428571,0.7050596119186784,0.10680234621160427
3,DEG-only,RF,20,0.961021505376344,0.9708152106712983,0.8934426229508197,0.8935483870967742,0.8870967741935484,0.9,0.9016393442622951,0.8943089430894309,0.7869910029407435,0.07893990163934426
3,DEG-only,LightGBM,20,0.9620967741935484,0.9690764609126493,0.9016393442622951,0.9016129032258065,0.9032258064516129,0.9,0.9032258064516129,0.9032258064516129,0.8032258064516129,0.07738933947931588
3,mRMR,LR,20,0.9080645161290324,0.9168104713039649,0.8032786885245902,0.803494623655914,0.7903225806451613,0.8166666666666667,0.8166666666666667,0.8032786885245902,0.6069892473118279,0.12221126104901227
3,mRMR,RF,20,0.9879032258064516,0.9889316582589438,0.9262295081967213,0.9260752688172043,0.9354838709677419,0.9166666666666666,0.9206349206349206,0.928,0.8524943546900098,0.06478721311475409
3,mRMR,LightGBM,20,0.989516129032258,0.9904348174370106,0.9508196721311475,0.9510752688172043,0.9354838709677419,0.9666666666666667,0.9666666666666667,0.9508196721311475,0.9021505376344086,0.04033832537319695
3,LASSO,LR,20,0.8217741935483871,0.8056025278962292,0.8032786885245902,0.803494623655914,0.7903225806451613,0.8166666666666667,0.8166666666666667,0.8032786885245902,0.6069892473118279,0.1725309346186718
3,LASSO,RF,20,0.9327956989247311,0.9411792296777906,0.8524590163934426,0.8524193548387097,0.8548387096774194,0.85,0.8548387096774194,0.8548387096774194,0.7048387096774194,0.11581101639344261
3,LASSO,LightGBM,20,0.9231182795698925,0.9324730489106682,0.8442622950819673,0.8446236559139786,0.8225806451612904,0.8666666666666667,0.864406779661017,0.8429752066115702,0.6895254023423296,0.1308267282633689
4,NIBFS,LR,20,0.8311475409836065,0.8227758885508099,0.743801652892562,0.7438524590163935,0.7377049180327869,0.75,0.75,0.743801652892562,0.48770491803278687,0.16962185871210544
4,NIBFS,RF,20,0.9359289617486338,0.9361155088070151,0.8677685950413223,0.8673497267759562,0.9180327868852459,0.8166666666666667,0.835820895522388,0.875,0.7389515735329589,0.10694214876033058
4,NIBFS,LightGBM,20,0.9352459016393442,0.9405821017839516,0.8429752066115702,0.8427595628415301,0.8688524590163934,0.8166666666666667,0.828125,0.848,0.6866456985477302,0.11894161169421405
4,DEG-only,LR,20,0.8934426229508197,0.8882438137903064,0.8016528925619835,0.801775956284153,0.7868852459016393,0.8166666666666667,0.8135593220338984,0.8,0.603716885077214,0.13232979756363158
4,DEG-only,RF,20,0.976775956284153,0.9791047012878468,0.9090909090909091,0.9091530054644809,0.9016393442622951,0.9166666666666666,0.9166666666666666,0.9090909090909091,0.8183060109289617,0.07175904132231406
4,DEG-only,LightGBM,20,0.9710382513661201,0.9741740739488562,0.8925619834710744,0.89275956284153,0.8688524590163934,0.9166666666666666,0.9137931034482759,0.8907563025210085,0.786163786543047,0.07925540807748023
4,mRMR,LR,20,0.8002732240437159,0.7717918882066911,0.7603305785123967,0.7603825136612021,0.7540983606557377,0.7666666666666667,0.7666666666666667,0.7603305785123967,0.5207650273224044,0.18390874405257931
4,mRMR,RF,20,0.9575136612021857,0.9625888660061193,0.9090909090909091,0.9092896174863387,0.8852459016393442,0.9333333333333333,0.9310344827586207,0.907563025210084,0.81925102764625,0.08958978512396694
4,mRMR,LightGBM,20,0.9491803278688524,0.9567084941671581,0.9090909090909091,0.9092896174863387,0.8852459016393442,0.9333333333333333,0.9310344827586207,0.907563025210084,0.81925102764625,0.08010345898642962
4,LASSO,LR,20,0.858743169398907,0.865846262612318,0.7768595041322314,0.7777322404371585,0.6721311475409836,0.8833333333333333,0.8541666666666666,0.7522935779816514,0.5676946314045416,0.1599468381124683
4,LASSO,RF,20,0.9355191256830601,0.9359419804362967,0.8347107438016529,0.8352459016393443,0.7704918032786885,0.9,0.8867924528301887,0.8245614035087719,0.675680871969346,0.11548218181818184
4,LASSO,LightGBM,20,0.9420765027322404,0.9451816299021907,0.8512396694214877,0.8516393442622952,0.8032786885245902,0.9,0.8909090909090909,0.8448275862068966,0.7061788191316445,0.11610713952705203
5,NIBFS,LR,20,0.8611262985237835,0.8809420891559155,0.743801652892562,0.7450792782941498,0.6935483870967742,0.7966101694915254,0.7818181818181819,0.7350427350427351,0.49204534382049875,0.15187425136601843
5,NIBFS,RF,20,0.9208583925642427,0.9475916993875437,0.8677685950413223,0.8685073810825588,0.8387096774193549,0.8983050847457628,0.896551724137931,0.8666666666666667,0.7374180534468248,0.10569914049586777
5,NIBFS,LightGBM,20,0.9417714598141059,0.9562465465557393,0.8842975206611571,0.8858665937670859,0.8225806451612904,0.9491525423728814,0.9444444444444444,0.8793103448275862,0.7759875372291992,0.09786623367362692
5,DEG-only,LR,20,0.884909786768726,0.9109869631203583,0.8099173553719008,0.8100054674685621,0.8064516129032258,0.8135593220338984,0.819672131147541,0.8130081300813008,0.6198415098936719,0.13497623407443154
5,DEG-only,RF,20,0.938627665390924,0.9586179864082103,0.8760330578512396,0.8757517769272827,0.8870967741935484,0.864406779661017,0.873015873015873,0.88,0.7519147733402527,0.09480489256198349
5,DEG-only,LightGBM,20,0.9475123018042646,0.963882684011762,0.8925619834710744,0.8931109896118097,0.8709677419354839,0.9152542372881356,0.9152542372881356,0.8925619834710744,0.7862219792236195,0.09851906570194319
5,mRMR,LR,20,0.832148715144888,0.8470505188956456,0.7933884297520661,0.7934663750683433,0.7903225806451613,0.7966101694915254,0.8032786885245902,0.7967479674796748,0.5867723640836481,0.16531450267313236
5,mRMR,RF,20,0.9572170585019136,0.9690886305562924,0.8760330578512396,0.876571897211591,0.8548387096774194,0.8983050847457628,0.8983050847457628,0.8760330578512396,0.753143794423182,0.08920211570247934
5,mRMR,LightGBM,20,0.9507927829414982,0.9659845878393971,0.9008264462809917,0.9019956260251504,0.8548387096774194,0.9491525423728814,0.9464285714285714,0.8983050847457628,0.8059766910094431,0.0827122572103076
5,LASSO,LR,20,0.8165664297430291,0.8334503718807094,0.7520661157024794,0.7519136139967195,0.7580645161290323,0.7457627118644068,0.7580645161290323,0.7580645161290323,0.503827227993439,0.18935653312055173
5,LASSO,RF,20,0.9233187534171678,0.9464295270631897,0.859504132231405,0.8604428649535265,0.8225806451612904,0.8983050847457628,0.8947368421052632,0.8571428571428571,0.7218731098108653,0.11384998347107439
5,LASSO,LightGBM,20,0.9316566429743028,0.9524851645030177,0.8512396694214877,0.8523783488244943,0.8064516129032258,0.8983050847457628,0.8928571428571429,0.847457627118644,0.7064970790283388,0.10868359407912118
