Repeat,Fold,Method,Classifier,k,ROC_AUC,PR_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score
4,1,LASSO,RF,20,0.9254032258064515,0.9359108832848144,0.8360655737704918,0.8365591397849462,0.8064516129032258,0.8666666666666667,0.8620689655172413,0.8333333333333334,0.6738432321543399,0.12734845901639344
4,1,NIBFS,LR,20,0.8844086021505377,0.8999881636909712,0.7950819672131147,0.7951612903225806,0.7903225806451613,0.8,0.8032786885245902,0.7967479674796748,0.5902432522055576,0.14000051611788228
4,1,NIBFS,LightGBM,20,0.9478494623655914,0.9587163718605134,0.8524590163934426,0.8524193548387097,0.8548387096774194,0.85,0.8548387096774194,0.8548387096774194,0.7048387096774194,0.10655505220287292
4,1,NIBFS,RF,20,0.9411290322580645,0.9548456505201073,0.8524590163934426,0.8518817204301075,0.8870967741935484,0.8166666666666667,0.8333333333333334,0.859375,0.706044689763086,0.10248891803278688
4,1,mRMR,LR,20,0.8502688172043011,0.8496385958504938,0.7950819672131147,0.7948924731182796,0.8064516129032258,0.7833333333333333,0.7936507936507936,0.8,0.5900229066845052,0.15619964945202006
4,1,mRMR,LightGBM,20,0.9814516129032258,0.9835762991461592,0.9180327868852459,0.917741935483871,0.9354838709677419,0.9,0.90625,0.9206349206349206,0.8363836923065848,0.05872876159497054
4,1,mRMR,RF,20,0.9852150537634409,0.9841337842919412,0.9508196721311475,0.950268817204301,0.9838709677419355,0.9166666666666666,0.9242424242424242,0.953125,0.903456726778586,0.0713032131147541
4,2,DEG-only,LR,20,0.9099462365591398,0.9265859125435008,0.8934426229508197,0.8938172043010753,0.8709677419354839,0.9166666666666666,0.9152542372881356,0.8925619834710744,0.7879521953443939,0.10851614237484497
4,2,DEG-only,LightGBM,20,0.9569892473118279,0.965515883646157,0.9262295081967213,0.9263440860215053,0.9193548387096774,0.9333333333333333,0.9344262295081968,0.926829268292683,0.8525735865191388,0.07256563513773955
4,2,DEG-only,RF,20,0.9579301075268818,0.9657497913981423,0.9344262295081968,0.9346774193548386,0.9193548387096774,0.95,0.95,0.9344262295081968,0.8693548387096774,0.07963570491803279
4,2,LASSO,LR,20,0.8483870967741935,0.8481689629160714,0.7622950819672131,0.7618279569892472,0.7903225806451613,0.7333333333333333,0.7538461538461538,0.7716535433070866,0.5247148754523229,0.1657830141502566
4,2,LASSO,LightGBM,20,0.957258064516129,0.9636236235364208,0.860655737704918,0.8604838709677419,0.8709677419354839,0.85,0.8571428571428571,0.864,0.7212586306872575,0.10418686898129385
4,2,LASSO,RF,20,0.9362903225806453,0.9454919298981518,0.819672131147541,0.8185483870967742,0.8870967741935484,0.75,0.7857142857142857,0.8333333333333334,0.6440597872644076,0.10887
4,2,NIBFS,LR,20,0.8919354838709678,0.9063895698852759,0.8442622950819673,0.8440860215053764,0.8548387096774194,0.8333333333333334,0.8412698412698413,0.848,0.6884496996865694,0.13120444619202373
4,2,NIBFS,LightGBM,20,0.9491935483870968,0.9603676651578259,0.8934426229508197,0.8930107526881721,0.9193548387096774,0.8666666666666667,0.8769230769230769,0.8976377952755905,0.7876110348165257,0.08126259478579519
4,2,NIBFS,RF,20,0.948521505376344,0.9605123132760154,0.8934426229508197,0.8927419354838709,0.9354838709677419,0.85,0.8656716417910447,0.8992248062015504,0.7892053043880822,0.09891304918032785
4,2,mRMR,LR,20,0.896236559139785,0.9214985903544517,0.8770491803278688,0.8774193548387097,0.8548387096774194,0.9,0.8983050847457628,0.8760330578512396,0.7551432643437058,0.1199166519977905
4,2,mRMR,LightGBM,20,0.9758064516129031,0.9812974842719224,0.9180327868852459,0.918010752688172,0.9193548387096774,0.9166666666666666,0.9193548387096774,0.9193548387096774,0.8360215053763441,0.0645919990233342
4,2,mRMR,RF,20,0.9685483870967743,0.9750796147494503,0.9508196721311475,0.9508064516129032,0.9516129032258065,0.95,0.9516129032258065,0.9516129032258065,0.9016129032258065,0.07651967213114752
4,3,DEG-only,LR,20,0.8505376344086023,0.8558489818960766,0.7786885245901639,0.7787634408602151,0.7741935483870968,0.7833333333333333,0.7868852459016393,0.7804878048780488,0.55745196041636,0.1590051023077673
4,3,DEG-only,LightGBM,20,0.9486559139784946,0.9620723380727103,0.8934426229508197,0.8943548387096774,0.8387096774193549,0.95,0.9454545454545454,0.8888888888888888,0.7924463939338238,0.09228033670880094
4,3,DEG-only,RF,20,0.9321236559139785,0.9507822281893086,0.860655737704918,0.8610215053763441,0.8387096774193549,0.8833333333333333,0.8813559322033898,0.859504132231405,0.7223343333430178,0.09854852459016393
4,3,LASSO,LR,20,0.8373655913978494,0.8500592484030456,0.7540983606557377,0.7534946236559139,0.7903225806451613,0.7166666666666667,0.7424242424242424,0.765625,0.508632652747586,0.17309002720529182
4,3,LASSO,LightGBM,20,0.9325268817204301,0.9443714909296357,0.8770491803278688,0.8774193548387097,0.8548387096774194,0.9,0.8983050847457628,0.8760330578512396,0.7551432643437058,0.10902274703678905
4,3,LASSO,RF,20,0.9275537634408603,0.9410692294437003,0.8524590163934426,0.853225806451613,0.8064516129032258,0.9,0.8928571428571429,0.847457627118644,0.7087415755146639,0.11553783606557377
4,3,NIBFS,LR,20,0.7706989247311828,0.7522506598353949,0.6557377049180327,0.656989247311828,0.5806451612903226,0.7333333333333333,0.6923076923076923,0.631578947368421,0.31741005549570805,0.2087671805889446
4,3,NIBFS,LightGBM,20,0.9126344086021506,0.9310960060963687,0.860655737704918,0.8618279569892473,0.7903225806451613,0.9333333333333333,0.9245283018867925,0.8521739130434782,0.7298625925477865,0.1256896719510667
4,3,NIBFS,RF,20,0.8905913978494625,0.9067578373114046,0.7868852459016393,0.7881720430107527,0.7096774193548387,0.8666666666666667,0.8461538461538461,0.7719298245614035,0.5826431155674642,0.13894334426229507
4,3,mRMR,LR,20,0.8419354838709677,0.8001849797899093,0.7786885245901639,0.7793010752688172,0.7419354838709677,0.8166666666666667,0.8070175438596491,0.773109243697479,0.5597317819250138,0.16387833462051282
4,3,mRMR,LightGBM,20,0.921505376344086,0.9366308310628444,0.860655737704918,0.8612903225806452,0.8225806451612904,0.9,0.8947368421052632,0.8571428571428571,0.7240418815276406,0.11369831171918657
4,3,mRMR,RF,20,0.9311827956989247,0.9487166056007336,0.8852459016393442,0.885752688172043,0.8548387096774194,0.9166666666666666,0.9137931034482759,0.8833333333333333,0.7723362924452698,0.10139177049180327
4,4,DEG-only,LR,20,0.9437158469945355,0.9447815042404819,0.8842975206611571,0.8841530054644808,0.9016393442622951,0.8666666666666667,0.873015873015873,0.8870967741935484,0.768936545307495,0.09496845737435523
4,4,DEG-only,LightGBM,20,0.9754098360655737,0.9767915186580909,0.9338842975206612,0.9337431693989071,0.9508196721311475,0.9166666666666666,0.9206349206349206,0.9354838709677419,0.8681982686171041,0.049353099047190194
4,4,DEG-only,RF,20,0.9810109289617487,0.9858653948085396,0.9256198347107438,0.9254098360655738,0.9508196721311475,0.9,0.90625,0.928,0.8522178976794068,0.06309345454545454
