Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,insulin receptor signaling pathway,0.0047020183224554,3,EGFR;KIT;FOXO1,0.15,2.3277156828831758
GO:BP,in utero embryonic development,0.0047020183224554,4,EGFR;CCNB1;RRM2;CCNB2,0.2,2.3277156828831758
GO:BP,biological process involved in interaction with host,0.0047020183224554,3,CDK1;EGFR;CAV1,0.15,2.3277156828831758
GO:BP,regulation of cholesterol efflux,0.0047376761990734,2,CAV1;PPARG,0.1,2.324434624862962
GO:BP,regulation of gene expression,0.0049070871182938,12,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,2.3091762316749938
GO:BP,meiotic nuclear division,0.0049188396543587,3,CDC20;TOP2A;CCNB2,0.15,2.308137334456773
GO:BP,DNA-templated transcription,0.0049808718970521,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,2.3026946277353555
GO:BP,regulation of response to stimulus,0.0050308621786757,11,EGFR;CCNB1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.55,2.2983575800824183
GO:BP,transcription by RNA polymerase II,0.0050308621786757,9,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;FGF2;FOXO1,0.45,2.2983575800824183
GO:BP,regulation of cell cycle G1/S phase transition,0.0051271570326135,3,EGFR;EZH2;RRM2,0.15,2.29012338094986
GO:BP,positive regulation of organ growth,0.0051524971691788,2,CDK1;FGF2,0.1,2.287982238153381
GO:BP,response to cadmium ion,0.0051524971691788,2,CDK1;KIT,0.1,2.287982238153381
GO:BP,response to reactive oxygen species,0.0053538177041934,3,CDK1;EZH2;STAT1,0.15,2.2713364204876525
GO:BP,negative regulation of macromolecule biosynthetic process,0.0054031763208089,8,CDK1;FN1;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.4,2.26735085998164
GO:BP,regulation of catalytic activity,0.0054527420444219,5,CDC20;EZH2;UBE2C;FGF2;MAD2L1,0.25,2.263385047212126
GO:BP,positive regulation of DNA replication,0.0056049600162866,2,CDK1;EGFR,0.1,2.2514274811542903
GO:BP,positive regulation of mitotic nuclear division,0.0056049600162866,2,CDC20;UBE2C,0.1,2.2514274811542903
GO:BP,chromosome condensation,0.0056049600162866,2,CDK1;TOP2A,0.1,2.2514274811542903
GO:BP,wound healing,0.0056940942115986,4,FN1;CAV1;PPARG;FGF2,0.2,2.2445753515131006
GO:BP,positive regulation of catalytic activity,0.0056940942115986,4,CDC20;EZH2;UBE2C;FGF2,0.2,2.2445753515131006
GO:BP,regulation of macromolecule biosynthetic process,0.0057477058814016,12,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,2.240505463459244
GO:BP,positive regulation of cell development,0.0058233690628023,4,FN1;KIT;PPARG;FGF2,0.2,2.234825685100735
GO:BP,positive regulation of MAPK cascade,0.0058467973644605,4,EGFR;EZH2;KIT;FGF2,0.2,2.233081957474769
GO:BP,maintenance of cell number,0.0058467973644605,3,EZH2;KIT;FOXO1,0.15,2.233081957474769
GO:BP,positive regulation of protein localization,0.0059391910666448,4,CDK1;EGFR;GNAI1;PPARG,0.2,2.2262727030350207
GO:BP,hepatocyte homeostasis,0.0059480036488155,1,EZH2,0.05,2.2256287737311258
GO:BP,negative regulation of metanephric nephron tubule epithelial cell differentiation,0.0059480036488155,1,STAT1,0.05,2.2256287737311258
GO:BP,positive regulation of cell fate specification,0.0059480036488155,1,FGF2,0.05,2.2256287737311258
GO:BP,positive regulation of lens fiber cell differentiation,0.0059480036488155,1,FGF2,0.05,2.2256287737311258
GO:BP,stomach smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,negative regulation of pancreatic stellate cell proliferation,0.0059480036488155,1,PPARG,0.05,2.2256287737311258
GO:BP,pyloric antrum smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,stomach pylorus smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,positive regulation of colon smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,growth factor dependent regulation of skeletal muscle satellite cell proliferation,0.0059480036488155,1,FGF2,0.05,2.2256287737311258
GO:BP,distal stomach smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,metabolic process,0.0059480036488155,18,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.9,2.2256287737311258
GO:BP,pronuclear fusion,0.0059480036488155,1,CDK1,0.05,2.2256287737311258
GO:BP,positive regulation of G1/S transition of mitotic cell cycle,0.0059480036488155,2,EGFR;RRM2,0.1,2.2256287737311258
GO:BP,positive regulation of pyloric antrum smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,regulation of pyloric antrum smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,regulation of colon smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,negative regulation of inward rectifier potassium channel activity,0.0059480036488155,1,CAV1,0.05,2.2256287737311258
GO:BP,karyogamy,0.0059480036488155,1,CDK1,0.05,2.2256287737311258
GO:BP,primary metabolic process,0.0059480036488155,17,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.85,2.2256287737311258
GO:BP,colon smooth muscle contraction,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,melanocyte adhesion,0.0059480036488155,1,KIT,0.05,2.2256287737311258
GO:BP,positive regulation of DNA biosynthetic process,0.0059851989649886,2,CCNA2;FGF2,0.1,2.2229214078372856
GO:BP,negative regulation of biosynthetic process,0.0060679922944921,8,CDK1;FN1;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.4,2.2169549793786585
GO:BP,cardiac muscle cell proliferation,0.0061845527388732,2,CDK1;FGF2,0.1,2.2086917026739714
GO:BP,meiotic cell cycle process,0.0061845527388732,3,CDC20;TOP2A;CCNB2,0.15,2.2086917026739714
GO:BP,vascular endothelial growth factor receptor-1 signaling pathway,0.0061845527388732,2,EGFR;KIT,0.1,2.2086917026739714
GO:BP,positive regulation of DNA-templated transcription,0.0061845527388732,7,EGFR;STAT1;TOP2A;PPARG;CCNA2;FGF2;FOXO1,0.35,2.2086917026739714
GO:BP,positive regulation of RNA biosynthetic process,0.006185059341228,7,EGFR;STAT1;TOP2A;PPARG;CCNA2;FGF2;FOXO1,0.35,2.2086561292694213
GO:BP,regulation of RNA metabolic process,0.006225584761984,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,2.2058198495373675
GO:BP,cellular component biogenesis,0.0063875905356993,10,CDK1;FN1;CDC20;EZH2;CAV1;RRM2;KIT;PPARG;UBE2C;CCNB2,0.5,2.194662931260204
GO:BP,negative regulation of response to stimulus,0.0067787100226445,7,EGFR;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.35,2.1688529437950783
GO:BP,positive regulation of transcription by RNA polymerase II,0.0068318972088278,6,EGFR;STAT1;TOP2A;PPARG;FGF2;FOXO1,0.3,2.1654586765659327
GO:BP,response to stem cell factor,0.0068521338308663,2,EGFR;KIT,0.1,2.164174163301512
GO:BP,Kit signaling pathway,0.0068521338308663,2,EGFR;KIT,0.1,2.164174163301512
GO:BP,Wnt signaling pathway,0.0068521338308663,4,EGFR;CAV1;FGF2;FOXO1,0.2,2.164174163301512
GO:BP,regulation of cell cycle checkpoint,0.0068521338308663,2,CCNB1;MAD2L1,0.1,2.164174163301512
GO:BP,cellular response to stem cell factor stimulus,0.0068521338308663,2,EGFR;KIT,0.1,2.164174163301512
GO:BP,response to fatty acid,0.0068521338308663,2,PPARG;FOXO1,0.1,2.164174163301512
GO:BP,response to nutrient levels,0.0069463731767926,4,STAT1;CAV1;PPARG;FOXO1,0.2,2.158241888996983
GO:BP,regulation of cardiac muscle tissue growth,0.0071057209798717,2,CDK1;FGF2,0.1,2.1483918499400136
GO:BP,macrophage colony-stimulating factor signaling pathway,0.0073795888062502,2,EGFR;KIT,0.1,2.131967836571492
GO:BP,response to starvation,0.0074467307007305,3,CAV1;PPARG;FOXO1,0.15,2.1280343514475444
GO:BP,regulation of anatomical structure morphogenesis,0.0075001671443228,5,FN1;STAT1;KIT;PPARG;FGF2,0.25,2.1249290580685325
GO:BP,brain-derived neurotrophic factor receptor signaling pathway,0.0075878625406427,2,EGFR;KIT,0.1,2.1198805452558385
GO:BP,negative regulation of endothelial cell migration,0.0075878625406427,2,PPARG;FGF2,0.1,2.1198805452558385
GO:BP,platelet-derived growth factor receptor-alpha signaling pathway,0.0075878625406427,2,EGFR;KIT,0.1,2.1198805452558385
GO:BP,neurogenesis,0.0076686495683263,7,CDK1;EGFR;FN1;EZH2;KIT;PPARG;FGF2,0.35,2.1152811075843143
GO:BP,positive regulation of response to stimulus,0.0076686495683263,8,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;MAD2L1,0.4,2.1152811075843143
GO:BP,regulation of smooth muscle contraction,0.0078322715789161,2,CAV1;KIT,0.1,2.1061122620655115
GO:BP,regulation of cardiac muscle hypertrophy,0.0080426023885617,2,PPARG;FOXO1,0.1,2.09460340148545
GO:BP,regulation of nitric oxide biosynthetic process,0.0080426023885617,2,STAT1;CAV1,0.1,2.09460340148545
GO:BP,attachment of spindle microtubules to kinetochore,0.0080426023885617,2,CDK1;CCNB1,0.1,2.09460340148545
GO:BP,negative regulation of BMP signaling pathway,0.0080426023885617,2,CAV1;PPARG,0.1,2.09460340148545
GO:BP,positive regulation of nuclear division,0.0080426023885617,2,CDC20;UBE2C,0.1,2.09460340148545
GO:BP,regulation of DNA metabolic process,0.0080889331879477,4,CDK1;EGFR;CCNA2;FGF2,0.2,2.0921087517051733
GO:BP,regulation of heart growth,0.0082353656841829,2,CDK1;FGF2,0.1,2.08431711160088
GO:BP,regulation of vascular associated smooth muscle cell proliferation,0.0082353656841829,2,PPARG;FGF2,0.1,2.08431711160088
GO:BP,positive regulation of MAP kinase activity,0.0082353656841829,2,EZH2;FGF2,0.1,2.08431711160088
GO:BP,regulation of nitric oxide metabolic process,0.0082353656841829,2,STAT1;CAV1,0.1,2.08431711160088
GO:BP,collagen-activated tyrosine kinase receptor signaling pathway,0.0082353656841829,2,EGFR;KIT,0.1,2.08431711160088
GO:BP,regulation of muscle hypertrophy,0.0084612020291909,2,PPARG;FOXO1,0.1,2.0725679351215094
GO:BP,positive regulation of protein catabolic process,0.0084612020291909,3,CDC20;CAV1;FOXO1,0.15,2.0725679351215094
GO:BP,cellular response to cytokine stimulus,0.0084612020291909,5,EGFR;STAT1;CAV1;KIT;PPARG,0.25,2.0725679351215094
GO:BP,vascular associated smooth muscle cell proliferation,0.0084612020291909,2,PPARG;FGF2,0.1,2.0725679351215094
GO:BP,cholesterol efflux,0.0084612020291909,2,CAV1;PPARG,0.1,2.0725679351215094
GO:BP,positive regulation of RNA metabolic process,0.0086588332221822,7,EGFR;STAT1;TOP2A;PPARG;CCNA2;FGF2;FOXO1,0.35,2.062540625223638
GO:BP,hepatocyte growth factor receptor signaling pathway,0.0086588332221822,2,EGFR;KIT,0.1,2.062540625223638
GO:BP,regulation of epidermal cell differentiation,0.0086588332221822,2,EZH2;FGF2,0.1,2.062540625223638
GO:BP,sister chromatid cohesion,0.0086588332221822,2,BUB1B;CDC20,0.1,2.062540625223638
GO:BP,cellular response to macrophage colony-stimulating factor stimulus,0.0086588332221822,2,EGFR;KIT,0.1,2.062540625223638
GO:BP,positive regulation of apoptotic process,0.0087163971513114,4,TOP2A;CAV1;PPARG;FOXO1,0.2,2.0596629899111454
GO:BP,regulation of protein localization,0.0087969212474354,5,CDK1;EGFR;GNAI1;PPARG;FOXO1,0.25,2.0556692959406995
GO:BP,cellular response to hydrogen peroxide,0.0088525248328446,2,CDK1;EZH2,0.1,2.0529328462979186
GO:BP,endothelial cell migration,0.0088525248328446,3,FN1;PPARG;FGF2,0.15,2.0529328462979186
GO:BP,regulation of sterol transport,0.0088525248328446,2,CAV1;PPARG,0.1,2.0529328462979186
GO:BP,regulation of cholesterol transport,0.0088525248328446,2,CAV1;PPARG,0.1,2.0529328462979186
GO:BP,system process,0.0088759178563162,7,EGFR;EZH2;STAT1;CAV1;KIT;PPARG;FOXO1,0.35,2.051786725673203
GO:BP,platelet-derived growth factor receptor-beta signaling pathway,0.0090967620195864,2,EGFR;KIT,0.1,2.0411131667196227
GO:BP,collagen-activated signaling pathway,0.0090967620195864,2,EGFR;KIT,0.1,2.0411131667196227
GO:BP,cellular response to oxidative stress,0.0090967620195864,3,CDK1;EZH2;FOXO1,0.15,2.0411131667196227
GO:BP,response to estrogen,0.0093573055001135,2,CAV1;PPARG,0.1,2.0288491913153632
GO:BP,response to macrophage colony-stimulating factor,0.0093573055001135,2,EGFR;KIT,0.1,2.0288491913153632
GO:BP,positive regulation of programmed cell death,0.0093792100923102,4,TOP2A;CAV1;PPARG;FOXO1,0.2,2.0278337359275698
GO:BP,protein modification by small protein conjugation or removal,0.0093960637911133,5,CDK1;CDC20;CAV1;UBE2C;MAD2L1,0.25,2.027054043402042
GO:BP,localization,0.0095923284586719,12,CDK1;EGFR;CCNB1;BUB1B;EZH2;CAV1;GNAI1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.6,2.018075958626216
GO:BP,mitotic metaphase chromosome alignment,0.0095923284586719,2,CDK1;CCNB1,0.1,2.018075958626216
GO:BP,intracellular protein localization,0.0097972315024927,8,CDK1;EGFR;BUB1B;EZH2;CAV1;GNAI1;PPARG;FOXO1,0.4,2.008896629721115
GO:BP,positive regulation of single stranded viral RNA replication via double stranded DNA intermediate,0.0098403894644329,1,TOP2A,0.05,2.0069877126553552
GO:BP,negative regulation by virus of viral protein levels in host cell,0.0098403894644329,1,STAT1,0.05,2.0069877126553552
GO:BP,regulation of retinal cell programmed cell death,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,positive regulation of inner ear auditory receptor cell differentiation,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,positive regulation of adiponectin secretion,0.0098403894644329,1,PPARG,0.05,2.0069877126553552
GO:BP,positive regulation of mechanoreceptor differentiation,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,metaphase/anaphase transition of meiosis I,0.0098403894644329,1,CDC20,0.05,2.0069877126553552
GO:BP,regulation of pancreatic stellate cell proliferation,0.0098403894644329,1,PPARG,0.05,2.0069877126553552
GO:BP,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,0.0098403894644329,1,STAT1,0.05,2.0069877126553552
GO:BP,cellular response to vitamin E,0.0098403894644329,1,PPARG,0.05,2.0069877126553552
GO:BP,regulation of system process,0.0098403894644329,4,CAV1;KIT;PPARG;FOXO1,0.2,2.0069877126553552
GO:BP,ameboidal-type cell migration,0.0098403894644329,3,FN1;KIT;FGF2,0.15,2.0069877126553552
GO:BP,response to trichostatin A,0.0098403894644329,1,EZH2,0.05,2.0069877126553552
GO:BP,cellular response to trichostatin A,0.0098403894644329,1,EZH2,0.05,2.0069877126553552
GO:BP,negative regulation of nephron tubule epithelial cell differentiation,0.0098403894644329,1,STAT1,0.05,2.0069877126553552
GO:BP,response to wortmannin,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,positive regulation of cell adhesion molecule production,0.0098403894644329,1,CAV1,0.05,2.0069877126553552
GO:BP,positive regulation of inner ear receptor cell differentiation,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,corticotropin hormone secreting cell differentiation,0.0098403894644329,1,FGF2,0.05,2.0069877126553552
GO:BP,pancreatic stellate cell proliferation,0.0098403894644329,1,PPARG,0.05,2.0069877126553552
GO:BP,glial cell differentiation,0.010077246051791,3,CDK1;PPARG;FGF2,0.15,1.9966581373272767
GO:BP,regulation of epidermis development,0.010077246051791,2,EZH2;FGF2,0.1,1.9966581373272767
GO:BP,cellular response to nutrient levels,0.0101439440262263,3,CAV1;PPARG;FOXO1,0.15,1.9937931558708704
GO:BP,negative regulation of transcription by RNA polymerase II,0.0101439440262263,5,EZH2;STAT1;CAV1;PPARG;FOXO1,0.25,1.9937931558708704
GO:BP,regulation of nucleobase-containing compound metabolic process,0.0101439440262263,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,1.9937931558708704
GO:BP,mesenchymal cell differentiation,0.0104871419865963,3,FN1;EZH2;STAT1,0.15,1.979342851993956
GO:BP,regulation of muscle cell apoptotic process,0.0105908765150915,2,PPARG;FOXO1,0.1,1.975068095613485
GO:BP,regulation of ERK1 and ERK2 cascade,0.0105908765150915,3,EGFR;FN1;FGF2,0.15,1.975068095613485
GO:BP,regulation of glial cell differentiation,0.0108500880180711,2,CDK1;PPARG,0.1,1.9645667387179813
GO:BP,regulation of receptor signaling pathway via JAK-STAT,0.0108500880180711,2,CAV1;KIT,0.1,1.9645667387179813
GO:BP,nucleobase-containing compound biosynthetic process,0.0108500880180711,11,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;RRM2;PPARG;CCNA2;FGF2;FOXO1,0.55,1.9645667387179813
GO:BP,nitric oxide biosynthetic process,0.0111325472769895,2,STAT1;CAV1,0.1,1.9534054518588035
GO:BP,striated muscle cell proliferation,0.0111325472769895,2,CDK1;FGF2,0.1,1.9534054518588035
GO:BP,meiotic cell cycle,0.0112036870775477,3,CDC20;TOP2A;CCNB2,0.15,1.9506390296585507
GO:BP,regulation of response to stress,0.0113731148259228,6,EGFR;STAT1;CAV1;PPARG;FGF2;FOXO1,0.3,1.9441205760818177
GO:BP,cardiac muscle tissue growth,0.0113731148259228,2,CDK1;FGF2,0.1,1.9441205760818177
GO:BP,response to axon injury,0.0113731148259228,2,CDK1;FGF2,0.1,1.9441205760818177
GO:BP,response to cytokine,0.0115219160094968,5,EGFR;STAT1;CAV1;KIT;PPARG,0.25,1.9384752949439836
GO:BP,response to activity,0.0116368572969788,2,CDK1;FN1,0.1,1.93416429140982
GO:BP,negative regulation of protein ubiquitination,0.0116368572969788,2,CAV1;MAD2L1,0.1,1.93416429140982
GO:BP,immune system process,0.0117591125356583,8,FN1;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNB2,0.4,1.9296254533797812
GO:BP,hemopoiesis,0.0118329798318585,5,EZH2;STAT1;TOP2A;KIT;PPARG,0.25,1.926905875695527
GO:BP,positive regulation of molecular function,0.0119259222869291,4,CDC20;EZH2;UBE2C;FGF2,0.2,1.9235080249808711
GO:BP,sensory organ development,0.0121232457361105,4,EGFR;KIT;CCNA2;FGF2,0.2,1.916381091673852
GO:BP,response to peptide,0.0121232457361105,5,EGFR;STAT1;CAV1;KIT;PPARG,0.25,1.916381091673852
GO:BP,muscle cell apoptotic process,0.0121686246405348,2,PPARG;FOXO1,0.1,1.914758505153716
GO:BP,positive regulation of smooth muscle cell proliferation,0.0124838690422081,2,STAT1;FGF2,0.1,1.903650795801696
GO:BP,nervous system development,0.0125427516308024,8,CDK1;EGFR;FN1;CDC20;EZH2;KIT;PPARG;FGF2,0.4,1.9016071774620384
GO:BP,cellular response to lipid,0.0125427516308024,4,EGFR;GNAI1;PPARG;CCNA2,0.2,1.9016071774620384
GO:BP,positive regulation of protein localization to cell periphery,0.0127298503285979,2,EGFR;GNAI1,0.1,1.895176702540072
GO:BP,nitric oxide metabolic process,0.0127298503285979,2,STAT1;CAV1,0.1,1.895176702540072
GO:BP,DNA metabolic process,0.0129690906440653,5,CDK1;EGFR;TOP2A;CCNA2;FGF2,0.25,1.8870904743484416
GO:BP,regulation of muscle adaptation,0.0129764785823498,2,PPARG;FOXO1,0.1,1.886843145728412
GO:BP,nephron epithelium morphogenesis,0.0129764785823498,2,STAT1;FGF2,0.1,1.886843145728412
GO:BP,reactive nitrogen species metabolic process,0.0129764785823498,2,STAT1;CAV1,0.1,1.886843145728412
GO:BP,sexual reproduction,0.0130562034982411,5,CDK1;CDC20;TOP2A;KIT;CCNB2,0.25,1.8841830894821836
GO:BP,response to hypoxia,0.0130896825280434,3,CAV1;PPARG;CCNA2,0.15,1.8830708865272323
GO:BP,positive regulation of small intestine smooth muscle contraction,0.0130987354306417,1,KIT,0.05,1.882770629688011
GO:BP,response to alkaloid,0.0130987354306417,2,PPARG;CCNA2,0.1,1.882770629688011
GO:BP,insulin receptor internalization,0.0130987354306417,1,CAV1,0.05,1.882770629688011
GO:BP,"positive regulation of substrate-dependent cell migration, cell attachment to substrate",0.0130987354306417,1,FN1,0.05,1.882770629688011
GO:BP,negative regulation of cellular response to transforming growth factor beta stimulus,0.0130987354306417,1,PPARG,0.05,1.882770629688011
GO:BP,response to tetrachloromethane,0.0130987354306417,1,EZH2,0.05,1.882770629688011
GO:BP,"regulation of substrate-dependent cell migration, cell attachment to substrate",0.0130987354306417,1,FN1,0.05,1.882770629688011
GO:BP,heart growth,0.0130987354306417,2,CDK1;FGF2,0.1,1.882770629688011
GO:BP,negative regulation of connective tissue replacement involved in inflammatory response wound healing,0.0130987354306417,1,PPARG,0.05,1.882770629688011
GO:BP,regulation of Schwann cell differentiation,0.0130987354306417,1,CDK1,0.05,1.882770629688011
GO:BP,positive regulation of protein kinase C signaling,0.0130987354306417,1,EGFR,0.05,1.882770629688011
GO:BP,positive regulation of endothelial cell chemotaxis to fibroblast growth factor,0.0130987354306417,1,FGF2,0.05,1.882770629688011
GO:BP,negative regulation of extracellular matrix assembly,0.0130987354306417,1,PPARG,0.05,1.882770629688011
GO:BP,positive regulation of lipid transport,0.0130987354306417,2,CAV1;PPARG,0.1,1.882770629688011
GO:BP,positive regulation of anaphase-promoting complex-dependent catabolic process,0.0130987354306417,1,CDC20,0.05,1.882770629688011
GO:BP,melanocyte migration,0.0130987354306417,1,KIT,0.05,1.882770629688011
GO:BP,lymphatic endothelial cell migration,0.0130987354306417,1,FGF2,0.05,1.882770629688011
GO:BP,positive regulation of cell chemotaxis to fibroblast growth factor,0.0130987354306417,1,FGF2,0.05,1.882770629688011
GO:BP,kidney mesenchymal cell proliferation,0.0130987354306417,1,STAT1,0.05,1.882770629688011
GO:BP,calcium-independent cell-matrix adhesion,0.0130987354306417,1,FN1,0.05,1.882770629688011
GO:BP,regulation of small intestine smooth muscle contraction,0.0130987354306417,1,KIT,0.05,1.882770629688011
GO:BP,negative regulation of connective tissue replacement,0.0130987354306417,1,PPARG,0.05,1.882770629688011
GO:BP,nephron morphogenesis,0.0130987354306417,2,STAT1;FGF2,0.1,1.882770629688011
GO:BP,negative regulation of monocyte activation,0.0130987354306417,1,FN1,0.05,1.882770629688011
GO:BP,metanephric mesenchymal cell proliferation involved in metanephros development,0.0130987354306417,1,STAT1,0.05,1.882770629688011
GO:BP,negative regulation of mitochondrial fission,0.0130987354306417,1,PPARG,0.05,1.882770629688011
GO:BP,negative regulation of cytokine-mediated signaling pathway,0.0139416953066343,2,CAV1;PPARG,0.1,1.8556844129273944
GO:BP,negative regulation of protein modification by small protein conjugation or removal,0.0139416953066343,2,CAV1;MAD2L1,0.1,1.8556844129273944
GO:BP,regulation of organ growth,0.0139416953066343,2,CDK1;FGF2,0.1,1.8556844129273944
GO:BP,regulation of catabolic process,0.0140292359133628,5,EGFR;CDC20;CAV1;MAD2L1;FOXO1,0.25,1.852965981690576
GO:BP,response to decreased oxygen levels,0.0140292359133628,3,CAV1;PPARG;CCNA2,0.15,1.852965981690576
GO:BP,regulation of angiogenesis,0.0141400405083933,3,STAT1;PPARG;FGF2,0.15,1.8495493463703427
GO:BP,regulation of stem cell differentiation,0.0141888420998352,2,EZH2;FGF2,0.1,1.8480530443008252
GO:BP,stem cell development,0.014461752925549,2,FN1;FGF2,0.1,1.8397790625219104
GO:BP,ephrin receptor signaling pathway,0.014461752925549,2,EGFR;KIT,0.1,1.8397790625219104
GO:BP,regulation of DNA biosynthetic process,0.014461752925549,2,CCNA2;FGF2,0.1,1.8397790625219104
GO:BP,DNA replication,0.0147101864881678,3,CDK1;EGFR;CCNA2,0.15,1.832381821475812
GO:BP,ATP synthesis coupled electron transport,0.0147101864881678,2,CDK1;CCNB1,0.1,1.832381821475812
GO:BP,organelle localization,0.0147101864881678,4,CDK1;CCNB1;KIT;MAD2L1,0.2,1.832381821475812
GO:BP,mitochondrial ATP synthesis coupled electron transport,0.0147101864881678,2,CDK1;CCNB1,0.1,1.832381821475812
GO:BP,nutrient storage,0.0148312485585033,2,CAV1;PPARG,0.1,1.8288222866490575
GO:BP,positive regulation of protein serine/threonine kinase activity,0.0148312485585033,2,EZH2;FGF2,0.1,1.8288222866490575
GO:BP,acute inflammatory response,0.0148312485585033,2,FN1;PPARG,0.1,1.8288222866490575
GO:BP,negative regulation of response to cytokine stimulus,0.0148312485585033,2,CAV1;PPARG,0.1,1.8288222866490575
GO:BP,regulation of fatty acid metabolic process,0.0148312485585033,2,CAV1;PPARG,0.1,1.8288222866490575
GO:BP,regulation of vasculature development,0.0148312485585033,3,STAT1;PPARG;FGF2,0.15,1.8288222866490575
GO:BP,lipid storage,0.0148312485585033,2,CAV1;PPARG,0.1,1.8288222866490575
GO:BP,regulation of peptidyl-tyrosine phosphorylation,0.0148312485585033,2,EGFR;KIT,0.1,1.8288222866490575
GO:BP,negative regulation of post-translational protein modification,0.0148312485585033,2,CAV1;MAD2L1,0.1,1.8288222866490575
GO:BP,regulation of developmental growth,0.0149910623449974,3,CDK1;FN1;FGF2,0.15,1.8241675896852556
GO:BP,regulation of lipid metabolic process,0.0152603283932235,3,CAV1;GNAI1;PPARG,0.15,1.8164361205206987
GO:BP,vascular endothelial growth factor signaling pathway,0.0154583184403877,2,EGFR;KIT,0.1,1.810837750506945
GO:BP,regulation of neural precursor cell proliferation,0.0157885894197408,2,FGF2;FOXO1,0.1,1.801656668888964
GO:BP,cell surface receptor protein tyrosine kinase signaling pathway,0.0158392834309914,4,EGFR;KIT;FGF2;FOXO1,0.2,1.8002644697797074
GO:BP,regulation of cellular response to growth factor stimulus,0.0159044812847455,3,CAV1;PPARG;FGF2,0.15,1.7984804905834184
GO:BP,regulation of gastro-intestinal system smooth muscle contraction,0.0160293026416103,1,KIT,0.05,1.7950853713132535
GO:BP,positive regulation of gastro-intestinal system smooth muscle contraction,0.0160293026416103,1,KIT,0.05,1.7950853713132535
GO:BP,"meiotic sister chromatid cohesion, centromeric",0.0160293026416103,1,BUB1B,0.05,1.7950853713132535
GO:BP,retinal cell programmed cell death,0.0160293026416103,1,FGF2,0.05,1.7950853713132535
GO:BP,small intestine smooth muscle contraction,0.0160293026416103,1,KIT,0.05,1.7950853713132535
GO:BP,negative regulation of epithelial cell differentiation involved in kidney development,0.0160293026416103,1,STAT1,0.05,1.7950853713132535
GO:BP,protein localization to basolateral plasma membrane,0.0160293026416103,1,CAV1,0.05,1.7950853713132535
GO:BP,angiogenesis involved in coronary vascular morphogenesis,0.0160293026416103,1,FGF2,0.05,1.7950853713132535
GO:BP,positive regulation of cerebellar granule cell precursor proliferation,0.0160293026416103,1,FGF2,0.05,1.7950853713132535
GO:BP,positive regulation of mast cell cytokine production,0.0160293026416103,1,KIT,0.05,1.7950853713132535
GO:BP,response to linoleic acid,0.0160293026416103,1,PPARG,0.05,1.7950853713132535
