Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,positive regulation of biosynthetic process,4.163232353422439e-05,12,CDK1;EGFR;FN1;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,4.380569350104519
GO:BP,muscle hypertrophy in response to stress,4.449417660572024e-05,3,EZH2;PPARG;FOXO1,0.15,4.351696825726855
GO:BP,cardiac muscle hypertrophy in response to stress,4.449417660572024e-05,3,EZH2;PPARG;FOXO1,0.15,4.351696825726855
GO:BP,negative regulation of cell cycle,4.449417660572024e-05,6,CDK1;CCNB1;BUB1B;CDC20;EZH2;MAD2L1,0.3,4.351696825726855
GO:BP,cardiac muscle adaptation,4.449417660572024e-05,3,EZH2;PPARG;FOXO1,0.15,4.351696825726855
GO:BP,cellular response to chemical stimulus,4.631805824760905e-05,11,CDK1;EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.55,4.334249655455592
GO:BP,response to increased oxygen levels,4.990565086207451e-05,3,CAV1;PPARG;FOXO1,0.15,4.301850276034535
GO:BP,multicellular organism development,5.133333130799006e-05,15,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;KIT;PPARG;FGF2;CCNB2;FOXO1,0.75,4.289600551018175
GO:BP,negative regulation of chromosome organization,6.59130896390961e-05,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,4.181028330572516
GO:BP,signal transduction,6.59130896390961e-05,16,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;MAD2L1;FOXO1,0.8,4.181028330572516
GO:BP,regulation of ubiquitin-protein transferase activity,8.666974305192422e-05,3,CDC20;UBE2C;MAD2L1,0.15,4.062132490978507
GO:BP,epithelial cell proliferation,8.872039698371884e-05,6,EGFR;STAT1;CAV1;KIT;PPARG;FGF2,0.3,4.0519765235828284
GO:BP,regulation of circadian rhythm,8.872039698371884e-05,4,CDK1;EZH2;TOP2A;PPARG,0.2,4.0519765235828284
GO:BP,regulation of apoptotic process,8.901546210388183e-05,9,CDK1;EGFR;STAT1;TOP2A;CAV1;PPARG;FGF2;MAD2L1;FOXO1,0.45,4.050534549274758
GO:BP,cellular response to insulin stimulus,0.0001006962085102,5,EGFR;STAT1;KIT;PPARG;FOXO1,0.25,3.996986881522516
GO:BP,apoptotic process,0.0001128691108814,10,CDK1;EGFR;BUB1B;STAT1;TOP2A;CAV1;PPARG;FGF2;MAD2L1;FOXO1,0.5,3.947424896066229
GO:BP,anatomical structure development,0.0001211331298803,16,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;KIT;PPARG;CCNA2;FGF2;CCNB2;FOXO1,0.8,3.916737061180013
GO:BP,positive regulation of mitochondrial ATP synthesis coupled electron transport,0.0001313625861068,2,CDK1;CCNB1,0.1,3.8815283102788976
GO:BP,regulation of developmental process,0.0001457874651921,11,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.55,3.8362798150572366
GO:BP,response to abiotic stimulus,0.0001502033692951,8,EGFR;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.4,3.823320325321967
GO:BP,cellular response to stimulus,0.0001589097583394,17,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;MAD2L1;FOXO1,0.85,3.7988494327936606
GO:BP,vasculature development,0.0001674317719784,7,FN1;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.35,3.776162126476292
GO:BP,regulation of endothelial cell proliferation,0.0001847482146302,4,STAT1;CAV1;PPARG;FGF2,0.2,3.733419749847796
GO:BP,signaling,0.0001919948099419,16,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;MAD2L1;FOXO1,0.8,3.716710511109107
GO:BP,cell migration,0.0001922142388965,9,CDK1;EGFR;FN1;EZH2;CAV1;GNAI1;KIT;PPARG;FGF2,0.45,3.716214443695825
GO:BP,positive regulation of macromolecule biosynthetic process,0.0001922142388965,11,CDK1;EGFR;FN1;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.55,3.716214443695825
GO:BP,cell communication,0.000201988361244,16,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;MAD2L1;FOXO1,0.8,3.6946736542816527
GO:BP,negative regulation of endothelial cell proliferation,0.000201988361244,3,STAT1;CAV1;PPARG,0.15,3.6946736542816527
GO:BP,animal organ regeneration,0.000201988361244,3,EZH2;PPARG;CCNA2,0.15,3.6946736542816527
GO:BP,regulation of biological process,0.0002157217497514,20,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;CCNB2;MAD2L1;FOXO1,1.0,3.6661060657419458
GO:BP,cell surface receptor signaling pathway via STAT,0.0002160426565655,4,STAT1;CAV1;KIT;PPARG,0.2,3.665460491061935
GO:BP,response to insulin,0.0002218654339798,5,EGFR;STAT1;KIT;PPARG;FOXO1,0.25,3.653910354375214
GO:BP,striated muscle adaptation,0.0002267039807016,3,EZH2;PPARG;FOXO1,0.15,3.644540854017334
GO:BP,cellular response to chemical stress,0.0002340041552783,5,CDK1;EZH2;CAV1;PPARG;FOXO1,0.25,3.630776430630781
GO:BP,regulation of organelle organization,0.000241058649149,8,CDK1;CCNB1;BUB1B;CDC20;GNAI1;PPARG;UBE2C;MAD2L1,0.4,3.61787728147894
GO:BP,positive regulation of cell migration,0.0002699502030862,6,EGFR;FN1;EZH2;CAV1;KIT;FGF2,0.3,3.568716341468452
GO:BP,regulation of mitochondrial ATP synthesis coupled electron transport,0.0002840704611081,2,CDK1;CCNB1,0.1,3.5465739237732947
GO:BP,negative regulation of epithelial cell differentiation,0.0002884376364278,3,EZH2;STAT1;CAV1,0.15,3.5399480718773497
GO:BP,negative regulation of programmed cell death,0.0002959676702658,7,CDK1;EGFR;CAV1;KIT;FGF2;MAD2L1;FOXO1,0.35,3.528755726076098
GO:BP,positive regulation of cell motility,0.0003224975249748,6,EGFR;FN1;EZH2;CAV1;KIT;FGF2,0.3,3.4914736140330165
GO:BP,cell cycle G2/M phase transition,0.0003232743693753,4,CDK1;CCNB1;CCNA2;CCNB2,0.2,3.490428726814697
GO:BP,endothelial cell proliferation,0.0003232743693753,4,STAT1;CAV1;PPARG;FGF2,0.2,3.490428726814697
GO:BP,regulation of epithelial cell differentiation,0.0003297030996375,4,EZH2;STAT1;CAV1;FGF2,0.2,3.481876969905216
GO:BP,developmental process,0.0003406084256105,16,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;KIT;PPARG;CCNA2;FGF2;CCNB2;FOXO1,0.8,3.467744613123583
GO:BP,regulation of growth,0.0003536015392582,6,CDK1;EGFR;FN1;PPARG;FGF2;CCNB2,0.3,3.4514858531332027
GO:BP,cellular response to oxygen levels,0.0003539210162386,4,CAV1;PPARG;CCNA2;FOXO1,0.2,3.451093647688945
GO:BP,negative regulation of developmental process,0.0003539210162386,7,EGFR;EZH2;STAT1;CAV1;KIT;PPARG;FOXO1,0.35,3.451093647688945
GO:BP,positive regulation of locomotion,0.0003539210162386,6,EGFR;FN1;EZH2;CAV1;KIT;FGF2,0.3,3.451093647688945
GO:BP,negative regulation of cardiac muscle adaptation,0.0003640906977394,2,PPARG;FOXO1,0.1,3.43879041684206
GO:BP,negative regulation of cardiac muscle hypertrophy in response to stress,0.0003640906977394,2,PPARG;FOXO1,0.1,3.43879041684206
GO:BP,biological regulation,0.0003664876970504,20,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;CCNB2;MAD2L1;FOXO1,1.0,3.4359405999935837
GO:BP,regulation of macromolecule metabolic process,0.0003930470031661,15,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.75,3.4055555107058666
GO:BP,regulation of neurogenesis,0.0003970159806749,5,FN1;EZH2;KIT;PPARG;FGF2,0.25,3.4011920116770145
GO:BP,growth,0.0003996815328815,7,CDK1;EGFR;FN1;EZH2;PPARG;FGF2;CCNB2,0.35,3.398285917671671
GO:BP,regulation of epithelial cell proliferation,0.0004336329910589,5,EGFR;STAT1;CAV1;PPARG;FGF2,0.25,3.362877683827118
GO:BP,positive regulation of cell cycle G1/S phase transition,0.0004379105594117,3,EGFR;EZH2;RRM2,0.15,3.358614582464906
GO:BP,positive regulation of developmental process,0.0004379105594117,8,CDK1;FN1;CDC20;EZH2;STAT1;KIT;PPARG;FGF2,0.4,3.358614582464906
